Stock,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
SUNW,18099978.80173531,41515108.563819766,-2530856.18200727,-30043779.960040372,15467220.366402375,-18202065.458073005,100503473.20079176,86633816.50572321,8769401.68849205,16408355.873586316,44434258.441496104,-8538727.53956055,-48647686.39486914,49134493.039186366,15091423.793311123,-2860171.0360468095,-3712085.6031494997,-10185801.420769144,-44208390.90614426,-14143084.34798017,9063646.382730644,14004225.60075678,4123091.6430983227,-14840803.777717115,-9775432.438308159,-30905939.186124418,33035277.460033294,-18658405.467178524,109715008.90455529,-21538212.84262456,22445945.64796536,-60494890.92844904,-20153424.006447256,3992692.9645733573,8996332.984105816,-41548213.455248445,-75367049.65779899,30289839.530437827,-26970772.409713455,-7255913.585730959,-99618052.25238381,-2466259.813750013,21829988.47011456,9283467.086338893,-26853821.474300757,11753636.130432766,108672607.02245528,37980243.0106406,-5218436.524336215,-5630592.962398152,-25920012.250244122,-19166947.17562509,-2399373.437351896,-16786652.90243481,-15310783.180764245,-19755176.02748341,-13938054.14575896,-9171670.79671972,-20334520.081986327,4342805.755186998,-3351169.721496321,5434005.042391238,-40692085.1750099,3279719.528241659,-17887467.88583036
JAVA,18099978.80173531,41515108.563819766,-2530856.18200727,-30043779.960040372,15467220.366402375,-18202065.458073005,100503473.20079176,86633816.50572321,8769401.68849205,16408355.873586316,44434258.441496104,-8538727.53956055,-48647686.39486914,49134493.039186366,15091423.793311123,-2860171.0360468095,-3712085.6031494997,-10185801.420769144,-44208390.90614426,-14143084.34798017,9063646.382730644,14004225.60075678,4123091.6430983227,-14840803.777717115,-9775432.438308159,-30905939.186124418,33035277.460033294,-18658405.467178524,109715008.90455529,-21538212.84262456,22445945.64796536,-60494890.92844904,-20153424.006447256,3992692.9645733573,8996332.984105816,-41548213.455248445,-75367049.65779899,30289839.530437827,-26970772.409713455,-7255913.585730959,-99618052.25238381,-2466259.813750013,21829988.47011456,9283467.086338893,-26853821.474300757,11753636.130432766,108672607.02245528,13067167.387233026,21914589.16917704,63312882.88336525,52024006.120542504,6188244.0414967155,40943924.04589901,-34020185.10797212,-32111510.44982907,-3965882.5948016425,-5278941.153797104,50773086.55054706,21305859.57305231,33879073.50963469,67848445.82459463,14083025.126280857,1513467.6960092746,-32269708.47217336,-58859508.718825035
ORCL,-1301417.5712372093,16300690.525915252,13344145.455409525,17610839.031655442,5688429.917267871,-57953377.68667975,41325940.26874168,-7781656.439002959,7767948.816997341,39363376.552228935,59136028.20474281,37449853.35000713,-13442116.437281145,16767960.78934635,8874675.711384974,35419868.58931017,-8943066.664512623,12993903.285661295,7517507.733980264,13944525.058208624,16957239.36274725,-100017911.87621835,-2616228.1756308475,-8228272.611110229,3405972.5545128756,-10043741.619016591,16218147.255682629,-532437.0399065809,-51943075.63651911,20708193.278073054,61426450.6313568,-2053363.122637043,1977109.239626583,-7752490.53382079,-32111430.944307994,-34292931.362338595,-21232027.996383093,19663415.787444633,-13686610.850484904,6368914.0349031435,-44119681.193334654,-73013718.7524009,15855265.380746469,-14693052.686525254,32071480.573347222,3814922.8433353715,16882919.9844882,38017134.160317324,-9104192.112398103,9556645.652810581,36468367.850324176,7217841.35197395,30291916.840292566,-30992975.2941037,-762558.4570473575,-22656945.788192082,-16057029.794645045,-6842822.923904777,27484616.773100168,11335413.977895841,3796672.9683253807,3967125.5998411546,5294308.819604689,62151709.3434334,54577553.96276459
MSFT,-22080151.135833155,-3399240.638603589,-94486537.98796917,-35961527.5527895,-42139332.63612885,76261985.586288,6041806.693030946,-139833756.76870275,20822484.34764224,-49124614.72328405,-95361302.6372373,107728579.22664982,-9790405.622178232,-110940694.71900986,-36641525.75048529,-2142057.193517256,20527690.15694311,-6378517.125432603,35183028.41389629,-48271240.75887301,201183652.94996327,-10456067.73320117,-38511567.87785673,-58399471.37052634,-15901297.844782345,-63352764.7512448,4440242.062505158,-6900464.396270477,-46210595.18060718,-77488254.65202165,12336899.589469407,39963705.529502004,66075464.66103717,-18712232.839875393,-44954514.662613325,-14284270.299155362,-29915414.47381466,-33568463.56294138,-18942863.579812102,-15441622.907231197,25284782.932322517,-11731982.83626432,-77534767.88949193,-7391686.309281899,-19691654.989180587,-9576516.119589979,62423242.36763432,16436546.898560695,-18625232.27709765,8438535.429935263,51652874.036711335,-13021464.325400285,53094767.56042185,-34346288.09801688,40829343.593832046,-61824874.648428544,7744063.146756846,6362855.617726162,13041076.022020744,-46914177.26392972,7132824.94389041,-195255061.1149275,-198225503.65298477,-248022119.40241846,-27747622.993909024
AYE,3548067.332670591,5116667.408920726,4886022.125941905,8424579.796891842,6042888.147160461,7689416.707403585,1892492.7765740491,-26023.63274646644,12317118.12123465,8205470.574111674,5832274.023910317,6681818.961016999,8013669.858452242,1559630.2958473912,21215.999209241607,4263412.97229131,7751378.986923217,-444480.1408072971,-1135170.8826526005,514891.1233056552,-604497.9731445434,-3377096.806124965,-1226219.1158945118,-2163980.7880865657,-1684176.2660150856,6889416.027354488,-10700885.731244827,1419503.2184132908,2777288.8688550433,3950847.620822985,29153676.505032156,4271297.630309577,-6036254.205985982,-2179994.135000862,1782534.2436565175,-3123980.486221333,-5017345.518005711,-12175072.909141619,-2573383.887158838,41515.55694980571,-13716872.335857932,-13046643.321671952,-2736047.8347574375,-1250705.3583903033,-2663970.195603852,5771202.157950478,4787940.941714707,407933.45481554157,-311088.20748713653,494090.5047955008,-3031708.5477126157,1805428.861390418,772543.6659353978,-2464689.9817089476,2705763.4509470295,-254132.88491742432,-2134349.0242979806,-2435105.9301380655,-995904.6890419311,-765467.9009300226,9828220.034395447,-92875.8189864693,2354909.56386846,17364938.600682877,-1571257.5474165513
TROW,-25622412.074216098,-1692491.673757392,-7824260.2429600945,-5724989.237071327,-2866463.78890603,771032.3650731512,-457598.7972628128,-1099620.1837599091,977139.5309930831,-806099.9118234178,-4969029.752708781,394262.06401269144,-4750269.432142858,-3797378.472455494,-1616346.105608769,1368033.2044273622,8027293.988822174,-1015254.6041184018,3825916.3429123573,-457586.0821749641,2377550.5433281083,4671417.308285056,-892605.732051189,29195.498622446128,1680098.1419630907,-2910099.695396091,-2925853.6794787934,-130342.37105634519,-5724831.575532209,4557814.517503996,-217055.2902587554,-291010.8516580217,6258688.3578403825,-4894079.284464213,-9289186.68707739,-4930848.054277627,-1804145.6608569126,-432323.79213388596,-6046927.672752963,-3401608.5231795036,-9224405.60767925,1778798.6768393866,-6431510.8659320725,-2256523.9986352213,-2449289.3654624615,-4536911.433102604,166551.72254694675,-1351452.638978953,-6054182.94243117,-751006.0129675192,-4156239.082833157,-6950799.185621171,2145753.0588504057,-956849.2005912206,-8290762.193523121,2058622.7009113124,6011177.326920133,1805548.6201108445,438669.8712149637,-1131552.3323028323,-976264.9772962146,-3936417.4495938565,4393311.962850106,989701.3064738661,5148237.710308437
HON,2695800.041792553,1790047.2584536953,5404617.841230859,2075316.1484114027,7753473.449751741,27104587.101715285,17021974.71852016,-6577744.352481922,816237.0534645083,91690.06933437067,26704702.825558376,10150417.275802195,-9801384.408607988,-8387005.708906238,-10139345.242151419,45031397.49004903,-6257146.784333536,932238.3967986905,-34541650.82663455,12219044.415859034,38017570.56951983,59199232.49449485,172094.52442718158,-9048678.758283162,-34437873.74673063,-15011080.01139304,-53372237.880612,-12842384.549653322,-1670398.6382322866,13831309.596158983,-1461027.333120765,-3671929.230794017,-14017138.563657528,4066216.8823938803,-20293725.19074742,4080825.3170678425,-785124.1172118061,15800293.454729239,535115.132888391,-584789.4888381418,-26863549.89209336,-9387751.829467967,-8239648.321238687,-7468466.701924094,15238538.838877583,-358308.61757475755,11057187.680166645,-10156841.517478136,-13896652.235899264,163514.86362744975,-8015164.392641194,6399502.610935691,760712.22989205,-12358249.606266934,10306966.00128706,5159210.624424488,-2612006.647942577,17285971.749786716,84173.43757114052,2235669.1671251277,-1308825.124718323,-5695485.988844437,-1397091.4421908648,7101732.632768877,2363671.733311898
EMC,-12938324.899124445,82875534.00399499,74518487.55537097,101207194.44003265,-16439210.186005022,16988275.509142667,-17941568.3078993,39343396.0198681,2214772.176427503,-7356866.045847535,-3681181.5679651997,-1585826.683537236,-1470717.8687244265,-18731450.764346886,45547253.13317848,163984571.77897206,88461251.16612752,2234596.2140192,106016071.75148474,14490335.813417908,190412778.78538767,-710712.5474819166,51373480.44438612,48284912.394369304,-54351623.22742401,-37652694.02188725,50298977.52589881,2449021.9523240533,-20571613.396973573,-6290510.211715396,58718326.58054307,2047257.6163622213,38298748.518820696,58550767.953360476,16577035.872810148,-17610453.14626019,2818338.1728861122,115012577.93832235,55325885.028658405,-29439897.266843278,-45719534.48571574,34024635.72143205,19099317.718302123,49711034.0238629,25938119.41649252,-26547259.825718246,42691192.08845296,8134951.718525475,-6255431.32850319,12103612.529289173,-5817076.326691637,1778003.1735822852,31642371.559781272,-29079175.530902337,7485516.031086419,13220418.619716568,-15076015.094668483,120344346.10884675,57537303.97424893,5931297.756280667,-562913.4520856384,-42437373.42805029,-22142939.150433544,27353552.04609084,-5430730.439662872
FO,17662188.818043765,9706102.166457955,12999944.527519789,9271306.492452286,11481549.497110387,9232119.537413804,3981258.5537986634,10766864.617025325,2278973.1275115637,3708581.526315284,2915203.64909172,-537344.5656100991,-12052381.667346489,-378046.9098317097,-3343590.296947321,-2230794.013906685,1097961.1275321878,2711541.271381936,-5190211.837328008,-1244965.7731415653,-703837.1241919848,-3220294.650908857,5096878.357971653,3926941.812885681,752113.7269033435,-217771.07743638888,-5360770.859956828,-6268983.567259584,-8437161.929202767,1170027.1781077352,4237641.766683793,2778962.352710948,-3959630.0934150955,-8812551.261131782,-21807491.037058078,-27703257.893474974,291555.00961042487,933717.3282755994,-41556.825880043405,394879.45902307547,-3493621.324046397,-2266035.4080612864,-2055102.8212940388,458912.10365835734,-982560.0199076241,-3378455.4619170665,-3462626.233073951,-1655850.7034796558,-16284.88747764954,-1201672.784926098,-970918.7084839696,1403063.5663423985,-1294693.6606608494,-3977352.7344432217,1770164.4154649768,-4096792.4279114776,-2922166.525662257,-2683249.8173117954,1869638.0497080756,-2883528.15272039,-4896352.00873836,-1522716.7358432612,-6431612.171359496,-4732784.7517083315,-1721039.679223187
LLTC,-5896786.033963016,-325178.2132112564,2285722.0605483335,3205167.402038708,11381782.786052302,-593649.2379654867,12314371.185372729,18005711.636380102,3721626.732197627,1773947.3267292804,2263922.442283499,141104.08730109927,23109724.641843963,4564713.88596507,-304576.8413578163,9440212.247799505,9814819.913599776,-9334089.458244184,-5464025.814255693,-3857963.26049893,197186.69308693524,6122840.9484629445,-5774734.493881655,-5950176.898724304,34586472.75087301,37365544.5753821,-801170.2764127261,10966302.16990129,8429527.567077931,29451843.70042017,-1407280.941132285,-118650.38092385346,5257792.933167637,3265240.334047711,-12219474.232759194,-5038099.135715399,9953098.20753357,4506160.060903525,3265068.798485909,17622957.58172717,25765533.627447993,-20252065.074516136,-10646555.035049444,18386616.52691915,-1455816.6136140644,1358328.1189045527,8069654.821294434,4755821.574006295,-9414619.31903628,-3864941.9736782266,-9978187.947122436,5690927.918467221,8724747.74593646,-6011083.989942806,152601.30671938087,-5831371.585235776,5274208.001768545,18829645.36384813,7357016.069032495,7201887.618178889,-789734.8564536656,24435334.013402548,9630384.412033333,13925869.631150238,-2504876.5519655677
